id_geonames	lat	lon	region	name_modern	name_historical
3435910	-34.6132	-58.3772	america		Buenos Aires
3441575	-34.9033	-56.1882	america		Montevideo
3448439	-23.5475	-46.6361	america	São Paulo	Sao Paulo
3448622	-29.7603	-51.1472	america	São Leopoldo	Sao Leopoldo
3449433	-23.9608	-46.3336	america		Santos
3449741	-29.1917	-54.8672	america	Santiago (Rio Grande do Sul)	Santiago
3452925	-30.0328	-51.2302	america		Porto Alegre
3454031	-22.505	-43.1786	america	Petrópolis	Petrópolis
3454244	-31.76997	-52.3410	america		Pelotas
3459712	-26.3044	-48.8456	america		Joinville
3464975	-25.4278	-49.2731	america	Curitiba	Curitiba
3469968	-26.9194	-49.0661	america		Blumenau
3515302	19.2879	-99.6532	america		Toluca
3530597	19.4285	-99.1277	america	Ciudad de México	Mexiko-Stadt, Mexiko City
3553478	23.1330	-82.3830	america	Villa de San Cristóbal de la Habana	Havanna
3838583	-32.9468	-60.6393	america		Rosario de Santa Fe
3868626	-33.036	-71.6296	america	Valparaíso	Valparaiso
3870011	-38.7397	-72.5984	america		Temuco
3871336	-33.4569	-70.6483	america	Santiago	Santiago de Chile
3936456	-12.0432	-77.0282	america		Lima
4005539	20.6668	-103.3918	america		Guadalajara
4076784	32.3668	-86.29997	america		Montgomery
4119403	34.7465	-92.2896	america		Little Rock
4140963	38.8951	-77.0364	america		Washington
4145381	39.74595	-75.54659	america		Wilmington
4171563	27.7709	-82.6793	america	Petersburg (?)	Saint Petersburg
4180439	33.749	-84.38798	america		Atlanta
4232679	38.8906	-90.1843	america		Alton
4233813	38.5201	-89.98399	america		Belleville
4242657	38.7126	-89.9529	america		Lake View/Chicago
4247703	39.9356	-91.4099	america		Quincy
4250542	39.8017	-89.6437	america		Springfield
4259418	39.7684	-86.1580	america		Indianapolis
4265737	39.4667	-87.4139	america		Terre Haute
4280539	39.0483	-95.6780	america		Topeka
4292188	38.2009	-84.8733	america		Frankfort
4299276	38.2542	-85.7594	america		Louisville
4335045	29.9547	-90.0751	america		New Orleans
4347778	39.2904	-76.6122	america		Baltimore
4352618	39.0284	-76.6014	america		Crownsville
4393217	39.0997	-94.5786	america		Kansas City
4407010	39.7686	-94.8466	america	St. Joseph	Saint Joseph
4407066	38.6273	-90.1979	america		Saint Louis
4508722	39.1271	-84.5144	america		Cincinnati
4509177	39.9612	-82.9988	america		Columbus
4509884	39.75895	-84.1916	america		Dayton
4513575	39.3995	-84.5613	america		Hamilton
4525353	39.9242	-83.8088	america		Springfield
4560349	39.9524	-75.1636	america		Philadelphia
4641239	35.1495	-90.04898	america		Memphis
4644585	36.16589	-86.7844	america		Nashville
4671654	30.2672	-97.7431	america		Austin
4684888	32.7831	-96.8067	america		Dallas
4692883	29.3014	-94.7977	america		Galveston
4699066	29.7633	-95.3633	america		Houston
4714131	29.703	-98.1245	america		New Braunfels
4726206	29.4241	-98.4936	america		San Antonio
4776222	36.8468	-76.2852	america		Norfolk
4781708	37.5538	-77.4603	america		Richmond
4835797	41.7637	-72.6851	america		Hartford
4839366	41.3082	-72.9282	america		New Haven
4845193	41.5582	-73.0515	america		Waterbury
4849826	40.8075	-91.1129	america		Burlington
4853423	41.5236	-90.5776	america		Davenport
4853828	41.6005	-93.6091	america		Des Moines
4854529	42.5006	-90.6646	america		Dubuque
4857790	43.3022	-91.7435	america		Freeport
4862034	41.6611	-91.5302	america		Iowa City
4876523	42.49999	-96.4003	america		Sioux City
4885164	40.4842	-88.9937	america		Bloomington
4887398	41.8500	-87.6501	america		Chicago
4893171	42.2967	-89.6212	america		Freeport
4905687	40.6937	-89.58899	america		Peoria
4920423	41.1306	-85.1287	america		Fort Wayne
4922462	40.4167	-86.8753	america		Lafayette
4925791	41.3153	-84.9014	america		Saint Joe
4930956	42.3584	-71.0598	america		Boston
4939783	42.2043	-72.6162	america		Holyoke
4942618	42.6334	-71.3162	america		Lowell
4954611	42.3709	-71.1828	america		Watertown
4956184	42.2626	-71.8023	america		Worcester
4975802	43.6574	-70.2589	america		Portland
4979573	45.3962	-68.1356	america		Springfield
4990729	42.3314	-83.0458	america		Detroit
4992982	43.0125	-83.6875	america		Flint
4994358	42.9634	-85.6681	america		Grand Rapids
5007989	43.4195	-83.9508	america	Saginaw (?)	Saginow
5024719	46.7833	-92.1066	america		Duluth
5037649	44.97997	-93.2638	america		Minneapolis
